customer_id,customer_name,age,gender,occupation,home_country,home_city,account_type,account_open_date,account_age_days,previous_fraud_flag,customer_risk_segment,total_transactions,total_fraud_transactions,fraud_rate,lifetime_spend,avg_transaction_amount
CUST00018,Aiko Silva,52,Female,Accountant,Canada,Toronto,Checking,06/04/2014,4287,0,Medium,5,0,0.00%,676.37,135.27
CUST00019,Yuki Kumar,21,Female,Architect,United States,Los Angeles,Checking,09/08/2019,2336,0,Low,6,0,0.00%,453.36,75.56
CUST00020,Mei Allen,55,Female,Data Analyst,Brazil,Sao Paulo,Savings,16/04/2016,3546,0,Medium,3,0,0.00%,147.95,49.32
CUST00021,Ingrid Wright,27,Female,Freelance Writer,Japan,Yokohama,Premium,02/09/2022,1216,0,Low,6,0,0.00%,783.42,130.57
CUST00022,James King,40,Male,HR Manager,Mexico,Mexico City,Savings,24/03/2018,2839,0,Low,5,0,0.00%,"1,854.54",370.91
CUST00023,Michelle Santos,35,Female,Architect,United States,Houston,Checking,16/03/2022,1386,0,Low,5,0,0.00%,890.6,178.12
CUST00024,Klaus Kim,40,Male,Police Officer,United Kingdom,London,Savings,15/03/2017,3213,0,Medium,7,0,0.00%,"1,171.71",167.39
CUST00025,Ronald Flores,34,Male,Marketing Specialist,Brazil,Sao Paulo,Checking,21/03/2021,1746,0,Low,7,0,0.00%,"3,463.91",494.84
CUST00026,Barbara Rossi,21,Female,Customer Support Rep,United Kingdom,London,Checking,23/05/2015,3875,0,Medium,6,2,33.30%,"2,375.22",395.87
CUST00027,Hiroshi Schmidt,47,Male,Data Analyst,Italy,Milan,Premium,12/12/2020,1845,0,Low,9,0,0.00%,"1,711.11",190.12
CUST00028,Betty Botha,56,Female,Freelance Writer,Spain,Valencia,Savings,08/03/2016,3585,0,Medium,2,0,0.00%,261.37,130.69
CUST00029,Hiroshi Mitchell,36,Male,Chef,United States,Boston,Checking,25/07/2022,1255,0,Low,8,0,0.00%,531.2,66.4
CUST00030,Michael Okafor,49,Male,Marketing Specialist,United Arab Emirates,Sharjah,Premium,13/06/2021,1662,1,High,3,0,0.00%,596.17,198.72
CUST00031,Linda Robinson,41,Female,Accountant,Australia,Sydney,Checking,12/04/2014,4281,0,Low,5,0,0.00%,992.66,198.53
CUST00032,Kimberly Rossi,37,Female,Civil Engineer,Canada,Ottawa,Business,09/06/2022,1301,0,Low,10,0,0.00%,830.87,83.09
CUST00033,Olga Schmidt,65,Female,Marketing Specialist,Canada,Calgary,Business,12/11/2014,4067,0,High,4,0,0.00%,"3,133.91",783.48
CUST00034,Hiroshi Singh,43,Male,Physician,United Kingdom,Edinburgh,Savings,24/04/2019,2443,0,Low,8,0,0.00%,827.41,103.43
CUST00035,Isabella Gonzalez,41,Female,Teacher,United States,Miami,Checking,03/10/2015,3742,0,Medium,6,0,0.00%,"1,022.02",170.34
CUST00036,Ashley Harris,73,Female,Civil Engineer,United Kingdom,Leeds,Checking,21/11/2018,2597,0,Low,4,0,0.00%,757.07,189.27
CUST00037,Gary Young,55,Male,University Professor,United Kingdom,London,Savings,13/12/2018,2575,0,Low,6,0,0.00%,"1,252.06",208.68
CUST00038,Susan Miller,50,Female,Pharmacist,India,Hyderabad,Savings,18/07/2014,4184,1,High,10,2,20.00%,"2,252.54",225.25
CUST00039,Pierre Walker,29,Male,Graphic Designer,Singapore,Singapore,Checking,22/06/2018,2749,0,Low,2,0,0.00%,"1,355.09",677.55
CUST00040,Linda Perez,41,Female,Lawyer,United States,New York,Savings,17/07/2019,2359,0,Low,3,0,0.00%,568.09,189.36
CUST00041,Amy Torres,41,Female,Electrician,United Kingdom,Leeds,Savings,30/06/2016,3471,0,Low,8,0,0.00%,"1,547.69",193.46
CUST00042,Joshua Ramirez,36,Male,Teacher,Japan,Tokyo,Checking,14/07/2015,3823,0,Medium,2,0,0.00%,378.92,189.46
CUST00043,Nicholas Santos,35,Male,Police Officer,United States,Chicago,Business,14/04/2023,992,0,Medium,4,0,0.00%,832,208
CUST00044,Matthew Rodriguez,29,Male,Architect,United Kingdom,London,Savings,07/05/2016,3525,0,Medium,3,0,0.00%,291.27,97.09
CUST00045,Santiago Haddad,58,Male,Marketing Specialist,United Kingdom,Leeds,Checking,02/04/2017,3195,1,High,3,0,0.00%,641.43,213.81
CUST00046,Hiroshi Haddad,74,Male,HR Manager,Spain,Barcelona,Business,09/06/2013,4588,0,Low,6,0,0.00%,"1,042.09",173.68
CUST00047,Carol Walker,24,Female,Financial Analyst,Brazil,Salvador,Premium,14/06/2022,1296,0,Medium,4,0,0.00%,287.28,71.82
CUST00048,Brian Martinez,23,Male,Software Engineer,Mexico,Guadalajara,Savings,14/12/2016,3304,0,Low,8,0,0.00%,555.69,69.46
CUST00049,Elizabeth Park,44,Female,Civil Engineer,United States,Phoenix,Checking,08/06/2022,1302,0,Low,11,0,0.00%,"1,240.06",112.73
CUST00050,Ashley Mitchell,31,Female,Small Business Owner,Japan,Osaka,Savings,03/01/2019,2554,0,Low,2,0,0.00%,882.38,441.19
CUST00051,Amara Kim,28,Female,Software Engineer,Canada,Ottawa,Savings,24/07/2020,1986,0,Low,4,0,0.00%,339.51,84.88
CUST00052,Santiago Moore,51,Male,Financial Analyst,South Africa,Johannesburg,Savings,10/12/2013,4404,0,Low,4,0,0.00%,"1,341.80",335.45
CUST00053,Kimberly Torres,37,Female,Architect,United Kingdom,Manchester,Checking,15/11/2015,3699,0,High,10,0,0.00%,"4,561.38",456.14
CUST00054,Emily Santos,31,Female,Retail Manager,Canada,Montreal,Premium,07/10/2013,4468,0,Low,6,0,0.00%,631.83,105.31
CUST00055,Raj Kumar,41,Male,Customer Support Rep,France,Marseille,Savings,05/06/2023,940,1,High,4,0,0.00%,567.57,141.89
CUST00056,Camila King,59,Female,Graphic Designer,United States,Boston,Savings,25/09/2017,3019,0,Low,8,0,0.00%,477.61,59.7
CUST00057,Jessica Martinez,41,Female,Plumber,United States,Chicago,Business,20/10/2017,2994,1,High,10,2,20.00%,"2,217.75",221.78
CUST00058,Justin Jackson,39,Male,Electrician,South Korea,Seoul,Business,14/06/2023,931,0,Low,3,0,0.00%,671.2,223.73
CUST00059,Yuki Garcia,47,Female,Plumber,South Korea,Busan,Premium,25/07/2021,1620,0,Low,5,0,0.00%,661.32,132.26
CUST00060,Melissa Mensah,40,Female,Plumber,Canada,Calgary,Premium,16/12/2016,3302,0,Low,3,0,0.00%,214.42,71.47
CUST00061,Ashley Lee,43,Female,Operations Manager,Netherlands,Amsterdam,Savings,13/01/2014,4370,0,Low,3,0,0.00%,433.78,144.59
CUST00062,George Chen,24,Male,Operations Manager,United States,Houston,Savings,05/12/2020,1852,0,High,7,0,0.00%,"1,429.52",204.22
CUST00063,Stephanie Jones,41,Female,University Professor,Italy,Turin,Savings,04/06/2021,1671,0,Low,5,0,0.00%,"1,528.01",305.6
CUST00064,Melissa Flores,26,Female,Customer Support Rep,Japan,Osaka,Checking,02/06/2021,1673,1,High,4,1,25.00%,"1,114.67",278.67
CUST00065,George Scott,52,Male,University Professor,United Arab Emirates,Dubai,Premium,28/01/2013,4720,0,Medium,2,0,0.00%,97.9,48.95
CUST00066,Stephen Kim,33,Male,Real Estate Agent,Germany,Frankfurt,Savings,21/05/2013,4607,1,High,1,0,0.00%,83.63,83.63
CUST00067,Emily Thompson,48,Female,Project Manager,Japan,Yokohama,Premium,29/06/2023,916,0,Medium,6,0,0.00%,672.09,112.02
CUST00068,Diego Green,55,Male,Electrician,Canada,Ottawa,Checking,09/03/2018,2854,0,Low,3,1,33.30%,214.32,71.44
CUST00069,Margaret Allen,34,Female,Teacher,Germany,Hamburg,Savings,26/11/2023,766,0,Low,5,0,0.00%,"1,147.98",229.6
CUST00070,Isabella Sanchez,42,Female,Physician,India,Chennai,Checking,19/02/2023,1046,0,Low,7,0,0.00%,"1,444.84",206.41
CUST00071,Amara Green,34,Female,Real Estate Agent,United States,Los Angeles,Savings,06/11/2015,3708,0,Medium,1,0,0.00%,60.22,60.22
CUST00072,Sofia Chen,55,Female,Consultant,United Kingdom,Edinburgh,Savings,07/02/2016,3615,0,Low,3,0,0.00%,235.12,78.37
CUST00073,Jeffrey Carter,41,Male,Real Estate Agent,France,Lyon,Savings,06/01/2017,3281,0,Medium,5,0,0.00%,294.99,59
CUST00074,Kwame Smith,32,Male,Small Business Owner,Nigeria,Abuja,Savings,25/07/2021,1620,0,Low,2,0,0.00%,194.45,97.23
CUST00075,Valentina Adams,32,Female,Chef,Australia,Perth,Checking,17/12/2018,2571,0,Low,6,0,0.00%,514.37,85.73
CUST00076,Yuki Perez,52,Female,Real Estate Agent,South Korea,Seoul,Premium,26/09/2020,1922,0,Low,7,0,0.00%,"1,802.60",257.51
CUST00077,Amanda Lopez,25,Female,Customer Support Rep,United States,Houston,Checking,17/05/2016,3515,0,Low,2,0,0.00%,327.68,163.84
CUST00078,Karen Brown,36,Female,Teacher,Japan,Osaka,Savings,04/08/2018,2706,0,Low,8,0,0.00%,"1,476.40",184.55
CUST00079,Amy Wang,68,Female,Plumber,Australia,Melbourne,Checking,12/11/2015,3702,0,Low,7,0,0.00%,"1,634.57",233.51
CUST00080,Steven Jackson,54,Male,Pharmacist,Brazil,Sao Paulo,Checking,28/11/2013,4416,0,Low,10,0,0.00%,"1,176.95",117.7
CUST00081,Susan Kumar,46,Female,Marketing Specialist,Germany,Munich,Checking,26/11/2014,4053,0,Low,2,0,0.00%,402.87,201.44
CUST00082,Linda Mensah,51,Female,Marketing Specialist,Germany,Berlin,Checking,20/10/2018,2629,0,Low,9,1,11.10%,"1,205.53",133.95
CUST00083,Jonathan Mensah,62,Male,Architect,India,Bengaluru,Checking,07/04/2013,4651,0,Low,4,1,25.00%,"3,606.86",901.72
CUST00084,Arjun Santos,22,Male,Electrician,India,Hyderabad,Savings,02/12/2018,2586,0,Medium,5,0,0.00%,776.54,155.31
CUST00085,Priya Ali,28,Female,Financial Analyst,United States,Houston,Savings,02/07/2014,4200,0,Low,5,0,0.00%,"1,674.51",334.9
CUST00086,Mei Rossi,47,Female,Pharmacist,India,Delhi,Business,03/11/2020,1884,0,Low,7,0,0.00%,537.94,76.85
CUST00087,Ashley Wright,61,Female,Consultant,Australia,Brisbane,Savings,27/11/2013,4417,0,Medium,4,0,0.00%,209.29,52.32
CUST00088,Paul Roberts,24,Male,Student,Canada,Vancouver,Business,31/12/2015,3653,0,Medium,2,0,0.00%,347.82,173.91
CUST00089,George Botha,44,Male,Chef,United States,Miami,Checking,22/03/2023,1015,0,Medium,7,0,0.00%,"2,910.90",415.84
CUST00090,Mateo Williams,32,Male,University Professor,United States,Miami,Premium,28/07/2018,2713,1,High,6,2,33.30%,"3,206.43",534.41
CUST00091,Pierre Roberts,32,Male,University Professor,Japan,Nagoya,Savings,19/11/2017,2964,0,Medium,7,1,14.30%,"2,281.15",325.88
CUST00092,Chioma Lewis,36,Female,Retail Manager,Brazil,Rio de Janeiro,Premium,10/11/2020,1877,0,Low,7,1,14.30%,"1,852.29",264.61
CUST00093,George Kim,48,Male,Retired,United Arab Emirates,Dubai,Business,30/06/2014,4202,0,Low,3,0,0.00%,330.61,110.2
CUST00094,Samuel Park,31,Male,Software Engineer,Canada,Calgary,Premium,13/04/2017,3184,0,Low,5,0,0.00%,"1,048.70",209.74
CUST00095,Wei Kumar,61,Male,Sales Manager,Brazil,Salvador,Checking,18/11/2021,1504,0,Medium,9,0,0.00%,"1,308.84",145.43
CUST00096,Mark Ivanov,35,Male,Consultant,Germany,Frankfurt,Premium,21/05/2015,3877,0,Low,5,0,0.00%,959.75,191.95
CUST00097,Kwame Wang,37,Male,Financial Analyst,United States,Los Angeles,Business,24/08/2018,2686,1,High,7,2,28.60%,"1,381.20",197.31
CUST00098,Melissa Lewis,52,Female,Pharmacist,United States,Los Angeles,Checking,28/02/2015,3959,0,High,4,0,0.00%,367.37,91.84
CUST00099,Michael Young,42,Male,Civil Engineer,India,Mumbai,Checking,14/12/2016,3304,0,Low,8,1,12.50%,"1,066.89",133.36
CUST00100,Hiroshi Anderson,48,Male,Project Manager,Canada,Vancouver,Savings,15/09/2018,2664,0,Medium,4,0,0.00%,"1,312.03",328.01
CUST00101,Nancy Anderson,49,Female,Freelance Writer,United States,Chicago,Savings,06/02/2013,4711,0,Low,6,0,0.00%,"1,135.39",189.23
CUST00102,Michelle Carter,49,Female,Lawyer,France,Lyon,Checking,25/01/2023,1071,0,Medium,4,0,0.00%,182.87,45.72
CUST00103,Ashley Wilson,30,Female,Student,United States,Phoenix,Premium,21/05/2014,4242,0,Low,5,0,0.00%,658.16,131.63
CUST00104,Yuki Haddad,36,Female,Operations Manager,United States,New York,Checking,10/01/2020,2182,0,Low,4,0,0.00%,229.63,57.41
CUST00105,Elizabeth Santos,34,Female,Pharmacist,United States,Seattle,Business,12/10/2023,811,0,Low,5,0,0.00%,"1,067.69",213.54
CUST00106,Susan Singh,44,Female,Physician,Canada,Calgary,Premium,27/12/2015,3657,0,Medium,8,0,0.00%,948.34,118.54
CUST00107,Jonathan Wright,31,Male,Architect,Mexico,Monterrey,Savings,27/03/2015,3932,0,Low,6,0,0.00%,938.49,156.42
CUST00108,Diego Wright,38,Male,Consultant,Spain,Madrid,Checking,09/08/2014,4162,0,Low,2,0,0.00%,111.99,56
CUST00109,Jacob Young,40,Male,Freelance Writer,United States,Boston,Checking,12/07/2017,3094,0,Low,3,0,0.00%,512.48,170.83
CUST00110,Michael Silva,37,Male,University Professor,India,Bengaluru,Savings,18/11/2021,1504,0,Low,3,0,0.00%,228.6,76.2
CUST00111,Andrew Baker,39,Male,Financial Analyst,United Kingdom,Leeds,Premium,21/01/2016,3632,0,Low,8,1,12.50%,"1,564.31",195.54
CUST00112,Mei Harris,46,Female,Accountant,South Korea,Seoul,Checking,05/11/2015,3709,0,High,3,0,0.00%,684.42,228.14
CUST00113,Ashley Schmidt,43,Female,Pharmacist,United States,Boston,Savings,23/11/2018,2595,0,High,3,0,0.00%,155.54,51.85
CUST00114,Paul Kim,41,Male,Student,Germany,Munich,Savings,26/06/2020,2014,0,Low,11,0,0.00%,"1,179.56",107.23
CUST00115,Justin Kim,68,Male,Physician,India,Chennai,Business,22/07/2015,3815,0,Low,5,0,0.00%,580.43,116.09
CUST00116,Gary Wright,31,Male,Small Business Owner,United Kingdom,Birmingham,Business,02/05/2021,1704,0,Medium,9,0,0.00%,786.54,87.39
CUST00117,Joseph Park,69,Male,Freelance Writer,United Kingdom,Manchester,Checking,09/10/2021,1544,0,Low,8,1,12.50%,"1,578.16",197.27
CUST00118,Diego Kim,30,Male,Architect,Canada,Montreal,Savings,17/10/2022,1171,0,Low,3,0,0.00%,177.36,59.12
CUST00119,Ronald Thompson,45,Male,Small Business Owner,United Kingdom,London,Premium,24/12/2015,3660,0,Low,8,0,0.00%,"1,422.43",177.8
CUST00120,John Okafor,65,Male,Small Business Owner,United States,Chicago,Business,07/10/2016,3372,0,Medium,5,0,0.00%,439.56,87.91
CUST00121,Chidi Johnson,23,Male,Project Manager,Netherlands,Rotterdam,Premium,28/08/2018,2682,0,Low,1,0,0.00%,57.7,57.7
CUST00122,John Allen,64,Male,University Professor,United States,Boston,Checking,22/08/2022,1227,0,Medium,5,0,0.00%,974.68,194.94
CUST00123,David Miller,18,Male,Sales Manager,South Korea,Seoul,Premium,28/10/2014,4082,0,Medium,6,0,0.00%,"1,171.85",195.31
CUST00124,Steven Thomas,58,Male,Data Analyst,Germany,Hamburg,Checking,13/02/2017,3243,0,Low,6,0,0.00%,"1,196.69",199.45
CUST00125,Thandiwe Suzuki,41,Female,Lawyer,Mexico,Guadalajara,Business,24/09/2013,4481,0,Medium,5,0,0.00%,378.61,75.72
CUST00126,Sharon Flores,41,Female,Project Manager,United Kingdom,Leeds,Savings,31/03/2023,1006,0,Low,2,0,0.00%,158.79,79.4
CUST00127,Zanele Clark,42,Female,Pharmacist,United Kingdom,Manchester,Savings,14/12/2020,1843,0,Low,9,0,0.00%,"1,634.56",181.62
CUST00128,Matthew Okafor,47,Male,Accountant,Canada,Vancouver,Checking,22/11/2023,770,0,Low,6,0,0.00%,754.19,125.7
CUST00129,Priya Nguyen,61,Female,Teacher,Germany,Munich,Premium,08/09/2020,1940,0,Low,7,0,0.00%,"1,499.20",214.17
CUST00130,Amy Martinez,42,Female,Real Estate Agent,France,Lyon,Premium,23/07/2013,4544,0,Low,6,0,0.00%,799.22,133.2
CUST00131,Anastasia Sanchez,49,Female,Electrician,Japan,Tokyo,Checking,24/10/2017,2990,0,Low,5,0,0.00%,"1,040.66",208.13
CUST00132,Kenneth Jackson,58,Male,Accountant,United States,New York,Checking,22/01/2022,1439,0,Low,6,0,0.00%,499.44,83.24
CUST00133,Olga Torres,25,Female,Chef,Spain,Madrid,Checking,31/08/2018,2679,0,Low,6,0,0.00%,386.71,64.45
CUST00134,Kimberly Santos,18,Female,Data Analyst,Mexico,Guadalajara,Checking,04/01/2019,2553,0,Low,3,1,33.30%,"2,481.45",827.15
CUST00135,Ryan Adams,18,Male,Architect,Australia,Brisbane,Business,19/08/2023,865,0,Low,5,0,0.00%,508.31,101.66
CUST00136,Olga Williams,40,Female,Freelance Writer,Canada,Montreal,Savings,16/06/2017,3120,1,High,4,1,25.00%,"2,231.04",557.76
CUST00137,Priya Suzuki,39,Female,Pharmacist,United States,Boston,Checking,24/08/2013,4512,0,Low,8,0,0.00%,929.57,116.2
CUST00138,Sharon Rossi,40,Female,Accountant,United States,Boston,Savings,07/01/2020,2185,0,Low,4,0,0.00%,"2,066.52",516.63
CUST00139,Richard Lee,50,Male,Consultant,Germany,Hamburg,Savings,21/02/2016,3601,0,Low,2,0,0.00%,"1,051.67",525.84
CUST00140,Rebecca Okafor,37,Female,Teacher,United States,Boston,Checking,07/12/2022,1120,0,Low,6,1,16.70%,"2,138.73",356.46
CUST00141,Klaus Kim,30,Male,University Professor,United States,New York,Checking,18/07/2016,3453,0,Low,4,0,0.00%,356.17,89.04
CUST00142,John Harris,33,Male,HR Manager,United States,Seattle,Checking,08/12/2016,3310,0,Low,3,0,0.00%,713.81,237.94
CUST00143,Zanele Miller,39,Female,Civil Engineer,Mexico,Guadalajara,Savings,05/10/2017,3009,0,Low,4,0,0.00%,"1,122.44",280.61
CUST00144,Santiago Rossi,41,Male,Nurse,Italy,Rome,Business,08/11/2016,3340,0,Low,6,1,16.70%,938.82,156.47
CUST00145,Daniel Flores,52,Male,Data Analyst,Brazil,Sao Paulo,Checking,22/09/2017,3022,0,Low,2,0,0.00%,80.49,40.25
CUST00146,Kwame Anderson,32,Male,Chef,Canada,Toronto,Savings,27/08/2016,3413,0,Low,7,0,0.00%,"1,636.11",233.73
CUST00147,Mohammed Nguyen,32,Male,HR Manager,Brazil,Brasilia,Checking,06/04/2019,2461,0,Low,4,0,0.00%,"2,059.27",514.82
CUST00148,Ashley Ivanov,18,Female,Data Analyst,Japan,Osaka,Premium,14/08/2019,2331,0,Low,10,1,10.00%,"1,224.10",122.41
CUST00149,Layla Moore,28,Female,University Professor,Australia,Sydney,Savings,27/10/2020,1891,0,Low,8,0,0.00%,"1,529.28",191.16
CUST00150,Amanda Santos,42,Female,Financial Analyst,United Kingdom,London,Checking,30/09/2020,1918,0,Low,6,0,0.00%,"1,202.31",200.39
CUST00151,Anastasia Rossi,27,Female,University Professor,Canada,Vancouver,Checking,29/11/2018,2589,0,Medium,7,0,0.00%,"1,086.85",155.26
CUST00152,Justin Botha,32,Male,Lawyer,India,Chennai,Savings,17/06/2013,4580,0,Medium,3,1,33.30%,329.25,109.75
CUST00153,Ahmed Walker,29,Male,Project Manager,France,Nice,Savings,20/04/2021,1716,0,Medium,5,0,0.00%,493.25,98.65
CUST00154,Brian Schmidt,40,Male,Student,Australia,Perth,Checking,04/08/2019,2341,0,Low,8,0,0.00%,"3,050.07",381.26
CUST00155,Valentina Martin,59,Female,Retail Manager,France,Paris,Checking,03/07/2022,1277,0,High,4,2,50.00%,518.07,129.52
CUST00156,Susan Khan,23,Female,Nurse,India,Hyderabad,Checking,16/09/2013,4489,0,Low,5,0,0.00%,495.23,99.05
CUST00157,Laura Martin,35,Female,Accountant,United States,Boston,Checking,26/02/2015,3961,0,Low,6,0,0.00%,768.52,128.09
CUST00158,Ahmed Patel,32,Male,Pharmacist,United States,Los Angeles,Premium,15/05/2014,4248,0,Low,6,0,0.00%,581.96,96.99
CUST00159,Ingrid Carter,18,Female,Consultant,Nigeria,Abuja,Checking,19/02/2014,4333,0,Low,3,0,0.00%,"3,459.58","1,153.19"
CUST00160,Ashley Torres,49,Female,Marketing Specialist,South Korea,Seoul,Premium,20/01/2019,2537,0,Medium,5,0,0.00%,"2,135.88",427.18
CUST00161,Aoife Gonzalez,31,Female,Chef,India,Delhi,Business,20/02/2016,3602,0,Low,7,0,0.00%,"1,367.27",195.32
CUST00162,Brian Davis,34,Male,Small Business Owner,France,Marseille,Checking,19/09/2019,2295,0,Medium,8,0,0.00%,650.99,81.37
CUST00163,Jeffrey Haddad,33,Male,Real Estate Agent,Australia,Melbourne,Savings,05/01/2022,1456,0,Low,5,0,0.00%,287.86,57.57
CUST00164,Stephanie Walker,27,Female,Retail Manager,United States,Chicago,Savings,25/04/2021,1711,0,Low,5,0,0.00%,"1,114.25",222.85
CUST00165,Andrew Johnson,26,Male,Plumber,Germany,Hamburg,Savings,24/10/2013,4451,0,Low,3,0,0.00%,121.15,40.38
CUST00166,Elizabeth Khan,44,Female,Physician,Canada,Ottawa,Checking,25/07/2020,1985,0,Low,5,0,0.00%,"2,008.53",401.71
CUST00167,Andrew Ivanov,33,Male,University Professor,Japan,Yokohama,Premium,08/09/2021,1575,0,Low,5,1,20.00%,442.56,88.51
CUST00168,Susan Walker,50,Female,Lawyer,Germany,Frankfurt,Checking,22/06/2017,3114,0,Low,10,1,10.00%,725.69,72.57
CUST00169,Patricia Patel,43,Female,Financial Analyst,United States,New York,Checking,28/07/2017,3078,0,Medium,4,0,0.00%,173.39,43.35
CUST00170,Linda Silva,42,Female,Customer Support Rep,France,Marseille,Premium,22/03/2015,3937,0,Low,4,0,0.00%,272.72,68.18
CUST00171,Melissa Lewis,33,Female,Pharmacist,United States,Houston,Checking,15/12/2016,3303,0,Medium,11,0,0.00%,994.06,90.37
CUST00172,Thandiwe Moore,48,Female,Pharmacist,India,Mumbai,Savings,15/10/2013,4460,0,Low,3,1,33.30%,179.82,59.94
CUST00173,Sven Khan,37,Male,Teacher,United Arab Emirates,Sharjah,Checking,30/10/2019,2254,0,Low,4,0,0.00%,373.62,93.41
CUST00174,Joshua Adams,53,Male,Retired,Germany,Hamburg,Checking,13/12/2021,1479,0,Medium,2,0,0.00%,488.16,244.08
CUST00175,Deborah Kim,20,Female,HR Manager,Spain,Barcelona,Checking,10/08/2014,4161,0,Low,4,0,0.00%,708.05,177.01
CUST00176,Priya Nguyen,41,Female,Retired,Spain,Barcelona,Savings,25/11/2014,4054,0,Low,4,0,0.00%,"1,079.39",269.85
CUST00177,Karen Lewis,43,Female,University Professor,Canada,Calgary,Checking,27/01/2013,4721,0,Medium,4,0,0.00%,637.32,159.33
CUST00178,Barbara Patel,48,Female,Software Engineer,India,Bengaluru,Savings,26/11/2017,2957,0,Medium,3,0,0.00%,160.71,53.57
CUST00179,Luca King,34,Male,Project Manager,United Kingdom,Edinburgh,Checking,12/09/2014,4128,0,Medium,9,1,11.10%,464.75,51.64
CUST00180,Carlos Robinson,46,Male,Retail Manager,United States,New York,Savings,21/12/2016,3297,0,Medium,3,0,0.00%,837.05,279.02
CUST00181,Amara Lewis,36,Female,Pharmacist,United Arab Emirates,Dubai,Checking,17/10/2016,3362,0,Medium,4,0,0.00%,446.65,111.66
CUST00182,Michelle Chen,51,Female,Nurse,United States,Chicago,Checking,31/05/2023,945,0,Medium,5,1,20.00%,679.35,135.87
CUST00183,Eric Anderson,35,Male,Nurse,Brazil,Rio de Janeiro,Savings,20/12/2013,4394,0,Low,6,0,0.00%,927.29,154.55
CUST00184,Ronald Botha,33,Male,Electrician,Japan,Osaka,Savings,28/12/2013,4386,0,Low,8,1,12.50%,"1,045.48",130.69
CUST00185,Eric Chen,27,Male,Financial Analyst,Spain,Madrid,Savings,06/03/2016,3587,0,Low,4,0,0.00%,666.88,166.72
CUST00186,Steven Campbell,34,Male,Nurse,Germany,Frankfurt,Business,24/10/2017,2990,0,Low,6,0,0.00%,912.4,152.07
CUST00187,Linda Patel,43,Female,Financial Analyst,India,Delhi,Checking,23/01/2013,4725,0,Medium,3,0,0.00%,217.8,72.6
CUST00188,Amy Lopez,75,Female,Real Estate Agent,Netherlands,Amsterdam,Savings,21/09/2016,3388,0,Low,8,0,0.00%,599.23,74.9
CUST00189,Linda Nelson,43,Female,Marketing Specialist,United States,Chicago,Savings,04/02/2015,3983,0,Low,7,0,0.00%,"1,487.65",212.52
CUST00190,Pierre Okafor,46,Male,Civil Engineer,Australia,Melbourne,Savings,20/10/2014,4090,0,Medium,5,0,0.00%,864.86,172.97
CUST00191,Christopher Smith,39,Male,Financial Analyst,United States,Chicago,Business,18/06/2022,1292,0,Medium,9,1,11.10%,"1,883.36",209.26
