transaction_id,customer_id,customer_name,age,gender,occupation,home_country,home_city,account_type,account_age_days,transaction_date,transaction_time,transaction_hour,merchant_id,merchant_name,merchant_category,transaction_amount,currency,payment_method,device_type,is_new_device,login_attempts_failed,transaction_country,transaction_city,country_mismatch,transactions_last_24h,previous_fraud_flag,card_present,risk_score,is_fraud
TXN0000018,CUST01565,Mary Kumar,54,Female,Student,India,Hyderabad,Checking,3830,02/01/2024,12:31:01,12,MER0022,QuickCart Online,Online Retail,36.6,INR,Credit Card,Mobile - iOS,0,0,India,Delhi,0,1,0,0,0.43,0
TXN0000019,CUST00442,Olga Wilson,52,Female,Operations Manager,Netherlands,The Hague,Checking,1525,02/01/2024,12:33:51,12,MER0009,SkyLine Airways,Travel & Airlines,"1,515.29",EUR,Debit Card,Mobile - Android,0,3,Netherlands,The Hague,0,1,0,1,0.91,0
TXN0000020,CUST02817,Daniel Lopez,25,Male,Plumber,France,Nice,Savings,4422,02/01/2024,12:49:47,12,MER0023,MarketPlace Direct,Online Retail,135.5,EUR,Credit Card,Tablet,0,0,France,Nice,0,1,0,1,0.43,0
TXN0000021,CUST02637,Barbara Robinson,56,Female,Teacher,United Kingdom,Birmingham,Business,2035,02/01/2024,13:20:26,13,MER0020,Cafe Lumiere,Restaurants,68.65,GBP,Debit Card,Tablet,0,1,United Kingdom,Manchester,0,1,0,0,0.55,0
TXN0000022,CUST01795,Carlos Jackson,41,Male,Chef,Spain,Valencia,Business,1375,02/01/2024,13:22:13,13,MER0040,,Utilities,349.89,EUR,Credit Card,Mobile - iOS,0,0,Spain,Valencia,0,3,0,1,0.57,0
TXN0000023,CUST02594,Sven Perez,26,Male,Financial Analyst,Ireland,Cork,Checking,1141,02/01/2024,13:45:34,13,MER0003,Urban Grocery Co.,Grocery,41.75,EUR,Credit Card,Mobile - iOS,0,1,Ireland,Cork,0,0,0,1,0.31,0
TXN0000024,CUST00269,Mohammed Ivanov,56,Male,Teacher,Canada,Montreal,Savings,1585,02/01/2024,14:07:33,14,MER0018,The Grill House,Restaurants,22.32,CAD,Bank Transfer,Mobile - iOS,0,1,Canada,Toronto,0,0,1,0,18.3,0
TXN0000025,CUST01655,Grace Johnson,50,Female,Small Business Owner,Singapore,Singapore,Premium,1398,02/01/2024,15:31:21,15,MER0003,Urban Grocery Co.,Grocery,155.29,SGD,Bank Transfer,Tablet,0,0,Singapore,Singapore,0,1,0,0,1.26,0
TXN0000026,CUST01509,Sharon Robinson,34,Female,Marketing Specialist,Germany,Frankfurt,Checking,1233,02/01/2024,15:42:53,15,MER0004,SuperSave Foods,Grocery,61.66,EUR,Debit Card,Tablet,1,0,Germany,Hamburg,0,0,0,1,3.01,0
TXN0000027,CUST01256,Karen Schmidt,26,Female,,Mexico,Mexico City,Checking,1237,02/01/2024,16:29:16,16,MER0033,PetroMax Station,Fuel & Gas Stations,49.94,MXN,Credit Card,Mobile - iOS,0,0,Mexico,Guadalajara,0,1,0,0,0.54,0
TXN0000028,CUST00897,Luca Sanchez,40,Male,Freelance Writer,United Kingdom,Manchester,Savings,1030,02/01/2024,16:48:31,16,MER0041,AquaFlow Water Services,Utilities,170.48,GBP,Contactless/NFC,Mobile - iOS,1,0,United Kingdom,Edinburgh,0,2,0,1,8.43,0
TXN0000029,CUST02749,Raj Silva,59,Male,Financial Analyst,India,Bengaluru,Savings,4131,02/01/2024,18:36:31,18,MER0017,Bella Cucina,Restaurants,21.97,INR,Mobile Wallet,Mobile - Android,0,2,India,Bengaluru,0,4,0,1,2.17,0
TXN0000030,CUST02478,Priya Dubois,31,Female,Civil Engineer,Germany,Berlin,Checking,1466,02/01/2024,18:49:02,18,MER0001,FreshMart,Grocery,45.01,INR,Bank Transfer,Mobile - iOS,0,0,India,Delhi,1,1,0,0,5.34,0
TXN0000031,CUST02752,Joseph Kim,53,Male,Pharmacist,United States,Phoenix,Premium,1205,02/01/2024,19:26:28,19,MER0006,ByteHub Store,Electronics,167.74,USD,Debit Card,Mobile - Android,0,3,United States,Chicago,0,2,0,1,2.8,0
TXN0000032,CUST02379,Brian Robinson,41,Male,Police Officer,Spain,Barcelona,Business,3356,02/01/2024,19:43:04,19,MER0043,HomeStyle Depot,Home Improvement,67.99,EUR,Mobile Wallet,Tablet,0,0,Spain,Madrid,0,1,0,1,0.35,0
TXN0000033,CUST02855,Michael Rossi,32,Male,HR Manager,South Africa,Cape Town,Premium,4676,02/01/2024,19:43:32,19,MER0039,MetroPower Utility,Utilities,175.19,ZAR,Debit Card,POS Terminal,0,0,South Africa,Johannesburg,0,4,0,1,0.65,0
TXN0000034,CUST02937,Michael King,42,Male,Accountant,Japan,Osaka,Checking,865,02/01/2024,19:45:06,19,MER0020,Cafe Lumiere,Restaurants,82.63,JPY,Debit Card,Mobile - iOS,0,0,Japan,,0,1,0,0,0.27,0
TXN0000035,CUST02292,James Wang,25,Male,Customer Support Rep,United Kingdom,Edinburgh,Savings,2304,02/01/2024,20:41:54,20,MER0023,MarketPlace Direct,Online Retail,153.56,GBP,Mobile Wallet,Mobile - iOS,0,0,United Kingdom,Birmingham,0,1,0,1,0.42,0
TXN0000036,CUST02976,Hana Johnson,27,Female,Accountant,United Kingdom,Birmingham,Checking,1436,02/01/2024,20:53:43,20,MER0003,Urban Grocery Co.,Grocery,22.44,GBP,Debit Card,Mobile - iOS,0,0,United Kingdom,Edinburgh,0,2,0,0,0.57,0
TXN0000037,CUST01561,Diego Walker,44,Male,Accountant,Australia,Melbourne,Savings,3116,02/01/2024,21:02:04,21,MER0022,QuickCart Online,Online Retail,92.98,AUD,Mobile Wallet,Tablet,0,0,Australia,Sydney,0,0,0,0,0.84,0
TXN0000038,CUST00252,Nicholas Mitchell,37,Male,Data Analyst,United Kingdom,London,Checking,3673,02/01/2024,21:41:58,21,MER0027,TrendLine Apparel,Fashion & Apparel,39.18,GBP,Credit Card,Mobile - iOS,0,2,United Kingdom,Edinburgh,0,0,0,1,0.76,0
TXN0000039,CUST01311,Ivan Chen,18,Male,Lawyer,France,Lyon,Checking,4447,03/01/2024,00:29:09,0,MER0013,Grand Horizon Hotels,Hotels & Lodging,381.88,EUR,Credit Card,Tablet,0,0,France,Nice,0,1,0,0,1.47,0
TXN0000040,CUST01095,William Adams,58,Male,Teacher,Spain,Valencia,Premium,3386,03/01/2024,02:28:39,2,MER0003,Urban Grocery Co.,Grocery,114.05,EUR,Debit Card,Mobile - Android,0,0,Spain,Valencia,0,0,0,0,1.12,0
TXN0000041,CUST00515,Rebecca Adams,56,Female,Consultant,Canada,Calgary,Premium,1873,03/01/2024,05:20:51,5,MER0021,ShopSphere,Online Retail,222.57,CAD,Prepaid Card,Desktop - Windows,0,0,Canada,Toronto,0,0,0,0,1.69,0
TXN0000042,CUST00433,Carlos Santos,48,Male,Sales Manager,Canada,Montreal,Checking,860,03/01/2024,06:34:57,6,MER0003,Urban Grocery Co.,Grocery,145.53,CAD,Debit Card,Mobile - Android,0,0,Canada,Montreal,0,0,0,0,2.4,0
TXN0000043,CUST01999,Emily Scott,37,Female,Pharmacist,India,Mumbai,Checking,3103,03/01/2024,07:19:52,7,MER0021,ShopSphere,Online Retail,83.53,INR,Credit Card,Mobile - iOS,0,0,India,Hyderabad,0,1,0,0,0.3,0
TXN0000044,CUST01595,Betty Torres,53,Female,Retail Manager,United States,Phoenix,Premium,4481,03/01/2024,10:34:55,10,MER0031,StreamBox Media,Entertainment,16.89,USD,Debit Card,Mobile - Android,0,0,United States,Chicago,0,1,0,0,0.12,0
TXN0000045,CUST00171,Melissa Lewis,33,Female,Pharmacist,United States,Houston,Checking,3303,03/01/2024,13:47:51,13,MER0019,Spice Route Kitchen,Restaurants,9.59,USD,Mobile Wallet,Mobile - iOS,0,0,United States,Houston,0,1,0,1,0.25,0
TXN0000046,CUST02416,Santiago Allen,36,Male,Civil Engineer,India,Hyderabad,Checking,857,03/01/2024,14:36:05,14,MER0017,Bella Cucina,Restaurants,40.89,INR,Mobile Wallet,Desktop - macOS,1,0,India,Mumbai,0,1,0,1,0.69,0
TXN0000047,CUST00325,Hiroshi Dubois,19,Male,HR Manager,Italy,Turin,Checking,2045,03/01/2024,16:12:42,16,MER0003,Urban Grocery Co.,Grocery,155.55,EUR,Mobile Wallet,Desktop - macOS,0,0,Italy,Naples,0,1,0,1,1.56,0
TXN0000048,CUST00050,Ashley Mitchell,31,Female,Small Business Owner,Japan,Osaka,Savings,2554,03/01/2024,16:27:51,16,MER0054,QuickSend Transfer,Money Transfer Services,865.56,JPY,Credit Card,Mobile - iOS,0,1,Japan,Tokyo,0,2,0,0,1.01,0
TXN0000049,CUST00622,Rebecca Williams,40,Female,Marketing Specialist,Brazil,Rio de Janeiro,Checking,3738,03/01/2024,16:45:53,16,MER0030,PlayZone Entertainment,Entertainment,82.67,BRL,Debit Card,Mobile - Android,0,1,Brazil,Salvador,0,1,0,0,0.19,0
TXN0000050,CUST01980,Elizabeth Hall,34,Female,Pharmacist,France,Lyon,Checking,2172,03/01/2024,16:53:32,16,MER0020,Cafe Lumiere,Restaurants,10.78,GBP,Debit Card,Desktop - Windows,0,0,United Kingdom,London,1,1,0,0,2.93,0
TXN0000051,CUST02647,Mark Roberts,60,Male,Civil Engineer,Brazil,Brasilia,Business,2170,03/01/2024,17:50:51,17,MER0037,Wellness Drug Store,Healthcare & Pharmacy,44.83,BRL,Bank Transfer,Desktop - Windows,1,1,Brazil,Salvador,0,1,0,0,2.11,0
TXN0000052,CUST00563,Raj Nguyen,40,Male,Accountant,United Kingdom,Edinburgh,Savings,4216,03/01/2024,18:06:30,18,MER0040,CityLink Telecom,Utilities,57.42,GBP,Debit Card,Mobile - iOS,0,2,United Kingdom,Birmingham,0,0,0,1,0.64,0
TXN0000053,CUST00674,Sven Green,48,Male,Data Analyst,United States,New York,Checking,813,04/01/2024,00:31:38,0,MER0001,FreshMart,Grocery,93.78,USD,Prepaid Card,Mobile - iOS,0,0,United States,Boston,0,1,0,0,0.21,0
TXN0000054,CUST01542,Mei Rivera,28,Female,Architect,United States,Houston,Checking,3577,04/01/2024,04:02:31,4,MER0032,GameSphere,Entertainment,43.36,USD,Bank Transfer,Mobile - iOS,0,0,United States,Seattle,0,0,0,1,0.43,0
TXN0000055,CUST00237,Cynthia Kim,51,Female,HR Manager,United Kingdom,Leeds,Savings,1410,04/01/2024,04:14:31,4,MER0002,GreenBasket Grocers,Grocery,90.73,GBP,Credit Card,Mobile - iOS,0,1,United Kingdom,London,0,0,0,0,1.33,0
TXN0000056,CUST00443,Joseph King,56,Male,Real Estate Agent,Brazil,Salvador,Premium,2921,04/01/2024,08:07:53,8,MER0030,PlayZone Entertainment,Entertainment,12.14,BRL,Debit Card,Mobile - Android,0,0,Brazil,Salvador,0,1,0,1,0.13,0
TXN0000057,CUST01270,Daniel Thompson,18,Male,Customer Support Rep,Nigeria,Lagos,Premium,4064,04/01/2024,08:08:25,8,MER0018,The Grill House,Restaurants,158.59,NGN,Credit Card,Mobile - Android,0,2,Nigeria,Lagos,0,3,0,1,3.63,0
TXN0000058,CUST02962,Barbara Rivera,53,Female,Project Manager,United States,Los Angeles,Checking,2908,04/01/2024,08:52:34,8,MER0018,The Grill House,Restaurants,31.27,USD,Debit Card,Tablet,0,2,United States,Seattle,0,1,0,0,0.93,0
TXN0000059,CUST01571,Raj Haddad,58,Male,Lawyer,United States,Houston,Premium,4540,04/01/2024,09:36:43,9,MER0035,National Gas & Go,Fuel & Gas Stations,126.76,USD,Debit Card,Mobile - iOS,0,2,United States,Los Angeles,0,1,0,1,2.21,0
TXN0000060,CUST00152,Justin Botha,32,Male,Lawyer,India,Chennai,Savings,4580,04/01/2024,10:23:03,10,MER0002,GreenBasket Grocers,Grocery,98.4,AED,Debit Card,Desktop - Windows,0,0,United Arab Emirates,Sharjah,1,0,0,1,4.9,0
TXN0000061,CUST00400,Olga Gonzalez,56,Female,Plumber,Mexico,Monterrey,Checking,4524,04/01/2024,11:07:00,11,MER0037,Wellness Drug Store,Healthcare & Pharmacy,270.83,MXN,Debit Card,Mobile - iOS,1,0,Mexico,Guadalajara,0,0,1,0,43.54,1
TXN0000062,CUST00311,Justin Harris,67,Male,Physician,France,Marseille,Savings,1061,04/01/2024,11:14:15,11,MER0017,Bella Cucina,Restaurants,50.15,EUR,Bank Transfer,Mobile - iOS,0,0,France,Marseille,0,0,0,1,1.64,1
TXN0000063,CUST02619,Ingrid Allen,18,Female,Retired,United Kingdom,London,Checking,4491,04/01/2024,11:50:07,11,MER0028,Chic Avenue,Fashion & Apparel,64.39,GBP,Mobile Wallet,Mobile - Android,0,1,United Kingdom,Leeds,0,3,0,0,0.62,0
TXN0000064,CUST00693,Mohammed Nelson,49,Male,Teacher,United States,Los Angeles,Business,1060,04/01/2024,12:18:38,12,MER0018,The Grill House,Restaurants,60.09,USD,Contactless/NFC,POS Terminal,0,0,United States,Miami,0,1,0,1,0.67,0
TXN0000065,CUST01909,Pierre Okafor,53,Male,Student,Canada,Calgary,Checking,3802,04/01/2024,12:28:29,12,MER0011,TransCity Airlines,Travel & Airlines,301.25,CAD,Bank Transfer,Mobile - Android,0,0,Canada,Vancouver,0,2,0,1,0.21,0
TXN0000066,CUST00698,Jacob Carter,26,Male,Lawyer,Brazil,Sao Paulo,Checking,2701,04/01/2024,12:35:31,12,MER0021,ShopSphere,Online Retail,94.91,BRL,Credit Card,Mobile - Android,0,0,Brazil,Salvador,0,0,0,0,0.25,0
TXN0000067,CUST01535,Arjun Park,47,Male,Operations Manager,South Korea,Busan,Savings,1021,04/01/2024,14:00:46,14,MER0027,TrendLine Apparel,Fashion & Apparel,210.96,KRW,Contactless/NFC,Mobile - Android,0,3,South Korea,Seoul,0,1,0,1,8.53,0
TXN0000068,CUST00073,Jeffrey Carter,41,Male,Real Estate Agent,France,Lyon,Savings,3281,04/01/2024,14:25:08,14,MER0022,QuickCart Online,Online Retail,53.74,EUR,Debit Card,Desktop - Windows,0,0,France,Paris,0,3,0,0,0.81,0
TXN0000069,CUST00605,Freya White,53,Female,Small Business Owner,United Kingdom,London,Checking,2688,04/01/2024,14:27:44,14,MER0039,MetroPower Utility,Utilities,81.78,GBP,Bank Transfer,Mobile - iOS,0,0,United Kingdom,Manchester,0,0,0,0,0.21,0
TXN0000070,CUST02433,Linda Torres,,Female,Physician,India,Mumbai,Checking,3209,04/01/2024,16:12:32,16,MER0026,StyleHouse Boutique,Fashion & Apparel,205.11,INR,Mobile Wallet,Desktop - macOS,0,0,India,Bengaluru,0,0,0,0,0.97,0
TXN0000071,CUST01121,Arjun Taylor,52,Male,Police Officer,Germany,Berlin,Checking,2724,04/01/2024,16:24:19,16,MER0021,ShopSphere,Online Retail,285.85,EUR,Credit Card,Mobile - Android,0,0,Germany,Hamburg,0,1,0,1,1.27,0
TXN0000072,CUST00014,Sandra Jones,52,Female,Operations Manager,United States,Seattle,Checking,2403,04/01/2024,16:52:17,16,MER0027,TrendLine Apparel,Fashion & Apparel,35.59,USD,Credit Card,Mobile - Android,0,1,United States,Boston,0,1,0,1,0.68,0
TXN0000073,CUST00900,Layla Park,50,Female,HR Manager,United Arab Emirates,Sharjah,Savings,4347,04/01/2024,16:53:57,16,MER0019,Spice Route Kitchen,Restaurants,26.79,AED,Credit Card,Desktop - Windows,0,0,United Arab Emirates,Sharjah,0,2,0,0,0.6,0
TXN0000074,CUST02138,Susan Martinez,52,Female,Marketing Specialist,Germany,Munich,Checking,2093,04/01/2024,18:05:40,18,MER0026,StyleHouse Boutique,Fashion & Apparel,44.86,EUR,Bank Transfer,Desktop - macOS,0,0,Germany,Munich,0,2,0,0,1.18,0
TXN0000075,CUST01964,Christopher Hernandez,22,Male,Nurse,Italy,Milan,Checking,1610,04/01/2024,18:07:26,18,MER0050,CoinBridge Exchange,Crypto & Digital Assets,354.79,EUR,Bank Transfer,Mobile - Android,0,0,Italy,Rome,0,0,0,1,0.27,0
TXN0000076,CUST02193,Aiko Baker,66,Female,Consultant,India,Delhi,Premium,1805,04/01/2024,18:44:22,18,MER0016,Comfort Nest Lodging,Hotels & Lodging,243.1,INR,Contactless/NFC,Desktop - Windows,0,2,India,Bengaluru,0,2,0,1,0.77,0
TXN0000077,CUST02162,Kevin Lee,52,Male,Electrician,Japan,Yokohama,Business,1714,05/01/2024,00:38:01,0,MER0044,Fixit Supply Co.,Home Improvement,300.3,JPY,Mobile Wallet,Mobile - Android,0,0,Japan,Nagoya,0,1,0,0,0.84,0
TXN0000078,CUST00417,Kevin Dubois,33,Male,Operations Manager,France,Paris,Checking,2239,05/01/2024,01:12:05,1,MER0018,The Grill House,Restaurants,204.41,EUR,Debit Card,Mobile - Android,0,1,France,Nice,0,2,0,1,36.32,1
TXN0000079,CUST01493,Hana Gonzalez,32,Female,Software Engineer,Brazil,Salvador,Checking,4325,05/01/2024,03:06:22,3,MER0044,Fixit Supply Co.,Home Improvement,126.47,BRL,Credit Card,Desktop - Windows,1,0,Brazil,Sao Paulo,0,2,0,0,3.35,0
TXN0000080,CUST02918,Wei Tanaka,42,Male,Civil Engineer,Canada,Toronto,Checking,3267,05/01/2024,04:11:24,4,MER0029,CineStar Theaters,Entertainment,46.92,CAD,Credit Card,Desktop - Windows,0,0,Canada,Toronto,0,2,0,0,1.05,0
TXN0000081,CUST00182,Michelle Chen,51,Female,Nurse,United States,Chicago,Checking,945,05/01/2024,08:17:34,8,MER0035,National Gas & Go,Fuel & Gas Stations,140.83,USD,Credit Card,POS Terminal,0,5,United States,New York,0,2,0,1,14.43,0
TXN0000082,CUST00985,Amy Suzuki,56,Female,Accountant,United States,Los Angeles,Savings,1764,05/01/2024,09:27:54,9,MER0019,Spice Route Kitchen,Restaurants,88.51,USD,Debit Card,,0,0,United States,Boston,0,0,0,1,0.21,0
TXN0000083,CUST01706,Jennifer Nguyen,77,Female,University Professor,France,Nice,Checking,1627,05/01/2024,10:36:16,10,MER0037,Wellness Drug Store,Healthcare & Pharmacy,97.84,EUR,Debit Card,POS Terminal,0,2,France,Paris,0,2,0,1,0.55,0
TXN0000084,CUST00668,Nicholas Wang,47,Male,Real Estate Agent,India,Hyderabad,Business,1931,05/01/2024,11:02:03,11,MER0001,FreshMart,Grocery,73.79,INR,Debit Card,Desktop - Windows,0,0,India,Bengaluru,0,1,0,1,0.89,0
TXN0000085,CUST00343,Andrew White,48,Male,Software Engineer,Singapore,Singapore,Business,3998,05/01/2024,13:20:21,13,MER0034,QuickFuel Stop,Fuel & Gas Stations,16.44,SGD,Credit Card,Desktop - Windows,0,0,Singapore,Singapore,0,0,0,0,0.29,0
TXN0000086,CUST02923,Isabella Lopez,37,Female,Nurse,South Korea,Seoul,Checking,2327,05/01/2024,13:32:17,13,MER0027,TrendLine Apparel,Fashion & Apparel,49.54,KRW,Prepaid Card,Mobile - iOS,0,0,South Korea,Seoul,0,1,0,1,0.28,0
TXN0000087,CUST02318,Sarah Kim,65,,Civil Engineer,Poland,Warsaw,Savings,1648,05/01/2024,13:52:23,13,MER0022,QuickCart Online,Online Retail,81.29,PLN,Contactless/NFC,Desktop - Windows,1,3,Poland,Warsaw,0,0,0,1,11.64,0
TXN0000088,CUST01530,Raj Khan,,Male,Physician,Australia,Sydney,Checking,1251,05/01/2024,14:38:02,14,MER0021,ShopSphere,Online Retail,96.55,AUD,Credit Card,Mobile - iOS,0,1,Australia,Melbourne,0,1,0,0,1.27,0
TXN0000089,CUST02261,George White,41,Male,Nurse,Japan,Yokohama,Savings,2214,05/01/2024,14:42:19,14,MER0012,Voyager Air,Travel & Airlines,165.18,JPY,Bank Transfer,Mobile - Android,0,0,Japan,Osaka,0,0,0,0,0.12,0
TXN0000090,CUST01660,Freya Martinez,42,Female,Customer Support Rep,Canada,Calgary,Checking,2715,05/01/2024,15:32:53,15,MER0040,CityLink Telecom,Utilities,250.06,CAD,Bank Transfer,Desktop - macOS,0,0,Canada,Ottawa,0,0,0,1,0.2,0
TXN0000091,CUST00757,Daniel Jones,23,Male,Physician,Singapore,Singapore,Premium,3442,05/01/2024,15:41:33,15,MER0022,QuickCart Online,Online Retail,86.71,SGD,Debit Card,Mobile - iOS,0,0,Singapore,Singapore,0,2,1,0,7.65,0
TXN0000092,CUST02868,Mei Mensah,62,Female,University Professor,Canada,Montreal,Checking,2407,05/01/2024,16:03:07,16,MER0001,FreshMart,Grocery,27.49,CAD,Contactless/NFC,Mobile - Android,0,2,Canada,Vancouver,0,0,0,1,0.69,0
TXN0000093,CUST00209,Ryan Mensah,42,Male,Freelance Writer,United States,New York,Savings,3254,05/01/2024,17:49:12,17,MER0042,BuildRight Hardware,Home Improvement,21.17,USD,Credit Card,Mobile - iOS,0,1,United States,Houston,0,0,0,0,0.8,0
TXN0000094,CUST02954,Laura Ali,25,Female,Nurse,Poland,Warsaw,Checking,980,05/01/2024,18:15:14,18,MER0042,BuildRight Hardware,Home Improvement,693.87,PLN,Bank Transfer,Mobile - Android,0,0,Poland,Warsaw,0,3,0,1,5.55,0
TXN0000095,CUST02585,Kofi Flores,49,Male,Real Estate Agent,Australia,Brisbane,Checking,1622,05/01/2024,18:43:20,18,MER0017,Bella Cucina,Restaurants,30.17,AUD,Credit Card,Desktop - Windows,1,1,Australia,Perth,0,2,0,1,5.86,0
TXN0000096,CUST02933,Hana Ramirez,70,Female,Student,United Kingdom,Leeds,Savings,3202,05/01/2024,18:59:22,18,MER0017,Bella Cucina,Restaurants,16.65,AED,Credit Card,Desktop - Windows,0,1,United Arab Emirates,Abu Dhabi,1,0,0,1,6.16,0
TXN0000097,CUST00712,Lisa Hernandez,41,Female,Customer Support Rep,France,Marseille,Checking,4277,05/01/2024,19:53:54,19,MER0004,SuperSave Foods,Grocery,100.56,EUR,Bank Transfer,Mobile - iOS,0,0,France,Paris,0,1,0,0,0.54,0
TXN0000098,CUST00286,Barbara Green,65,Female,Real Estate Agent,Australia,Brisbane,Checking,3666,05/01/2024,20:28:15,20,MER0034,QuickFuel Stop,Fuel & Gas Stations,44.67,AUD,Prepaid Card,Mobile - Android,0,1,Australia,Brisbane,0,1,0,0,0.53,0
TXN0000099,CUST02400,Barbara Campbell,37,Female,Physician,Mexico,Guadalajara,Checking,1092,06/01/2024,05:24:08,5,MER0040,CityLink Telecom,Utilities,113.62,MXN,Debit Card,Mobile - Android,0,1,Mexico,Monterrey,0,1,0,0,2.55,1
TXN0000100,CUST01897,Kwame Jones,32,Male,Real Estate Agent,Netherlands,The Hague,Savings,1374,06/01/2024,05:26:11,5,MER0008,GadgetZone,Electronics,152,EUR,Mobile Wallet,Mobile - Android,0,0,Netherlands,The Hague,0,1,0,0,2.2,0
TXN0000101,CUST01084,Thandiwe Miller,50,Female,Sales Manager,Brazil,Brasilia,Checking,1924,06/01/2024,06:53:05,6,MER0023,MarketPlace Direct,Online Retail,89.66,BRL,Bank Transfer,Desktop - macOS,0,2,Brazil,Brasilia,0,0,0,0,0.89,0
